                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.6279,                  1.052,                 1.2266,                0.71264,                0.67068,                0.70806,                0.33705,                  1.887,                   1.14,                 1.3284,              0.0028225,              0.0028225,              0.0028225
                     61,                 1.6152,                 1.0501,                 1.2184,                 0.7222,                0.61085,                0.68479,                0.32529,                 1.8634,                 1.2016,                 1.3004,              0.0026987,              0.0026987,              0.0026987
                     62,                 1.6056,                 1.0507,                 1.2091,                0.73707,                0.65957,                0.71118,                0.34795,                 1.8206,                 1.1448,                 1.2883,               0.002575,               0.002575,               0.002575
                     63,                 1.6177,                 1.0487,                 1.2285,                0.75506,                0.64662,                0.71678,                0.36618,                 1.7596,                 1.1455,                 1.2684,              0.0024513,              0.0024513,              0.0024513
                     64,                  1.617,                 1.0331,                 1.2157,                 0.7207,                0.66838,                0.71217,                0.35746,                 1.7714,                 1.1278,                 1.2616,              0.0023275,              0.0023275,              0.0023275
                     65,                 1.5996,                 1.0345,                 1.2088,                0.72838,                0.66975,                 0.7134,                0.35399,                 1.7692,                 1.1304,                 1.2727,              0.0022038,              0.0022038,              0.0022038
                     66,                 1.5981,                 1.0135,                 1.2003,                0.76358,                 0.6531,                0.72372,                0.34778,                 1.8248,                 1.1301,                 1.2882,                0.00208,                0.00208,                0.00208
                     67,                 1.6069,                 1.0318,                 1.2104,                0.74644,                0.66512,                0.71881,                0.35317,                 1.7956,                 1.1245,                 1.2812,              0.0019563,              0.0019563,              0.0019563
                     68,                 1.6013,                 1.0198,                 1.2062,                0.75605,                0.65081,                0.71638,                0.35614,                 1.7845,                 1.1012,                 1.2762,              0.0018325,              0.0018325,              0.0018325
                     69,                 1.5897,                 1.0095,                 1.2024,                0.75822,                0.64982,                0.72413,                0.35275,                 1.8082,                 1.1421,                 1.2793,              0.0017087,              0.0017087,              0.0017087
                     70,                 1.5792,                 1.0026,                 1.2038,                0.75103,                0.66414,                0.72005,                  0.368,                 1.7503,                 1.0965,                 1.2656,               0.001585,               0.001585,               0.001585
                     71,                 1.5941,                0.97969,                 1.2244,                0.76594,                0.64782,                0.70489,                0.33347,                 1.8711,                 1.1677,                 1.3095,              0.0014612,              0.0014612,              0.0014612
                     72,                 1.5859,                0.96691,                 1.2327,                0.76057,                0.64755,                0.71163,                0.35597,                 1.7643,                 1.1359,                   1.27,              0.0013375,              0.0013375,              0.0013375
                     73,                 1.5786,                0.95682,                 1.2296,                 0.7583,                0.65402,                0.71679,                0.35663,                 1.7824,                 1.1291,                 1.2831,              0.0012138,              0.0012138,              0.0012138
                     74,                 1.5859,                0.94877,                  1.233,                0.75242,                0.66067,                0.72243,                0.36909,                 1.7387,                 1.0909,                 1.2594,                0.00109,                0.00109,                0.00109
                     75,                 1.5638,                0.93079,                 1.2206,                0.75263,                0.67548,                0.73243,                0.37618,                 1.7187,                   1.09,                   1.26,             0.00096625,             0.00096625,             0.00096625
                     76,                 1.5756,                 0.9401,                 1.2263,                0.76922,                 0.6605,                0.72191,                0.36787,                 1.7305,                 1.0941,                 1.2603,              0.0008425,              0.0008425,              0.0008425
                     77,                 1.5697,                0.91252,                 1.2274,                0.76783,                0.64662,                0.72096,                0.37358,                 1.6926,                 1.0912,                 1.2414,             0.00071875,             0.00071875,             0.00071875
                     78,                  1.551,                0.92018,                 1.2212,                0.73987,                 0.6938,                0.72736,                0.37329,                 1.7252,                 1.0709,                  1.254,               0.000595,               0.000595,               0.000595
                     79,                 1.5602,                  0.911,                 1.2172,                 0.7532,                0.66626,                0.72164,                0.36275,                 1.7499,                 1.1085,                 1.2741,             0.00047125,             0.00047125,             0.00047125
                     80,                 1.5538,                0.91779,                 1.2163,                0.77696,                0.65094,                0.71816,                0.36488,                 1.7404,                 1.0957,                 1.2687,              0.0003475,              0.0003475,              0.0003475
